"""Country Code""",Region,IncomeGroup,TableName,
ABW,Latin America & Caribbean,High income,Aruba,"INSERT INTO country VALUES('ABW','Latin America & Caribbean','High income','Aruba');"
AFG,South Asia,Low income,Afghanistan,"INSERT INTO country VALUES('AFG','South Asia','Low income','Afghanistan');"
AGO,Sub-Saharan Africa,Lower middle income,Angola,"INSERT INTO country VALUES('AGO','Sub-Saharan Africa','Lower middle income','Angola');"
ALB,Europe & Central Asia,Upper middle income,Albania,"INSERT INTO country VALUES('ALB','Europe & Central Asia','Upper middle income','Albania');"
AND,Europe & Central Asia,High income,Andorra,"INSERT INTO country VALUES('AND','Europe & Central Asia','High income','Andorra');"
ARB,,,Arab World,"INSERT INTO country VALUES('ARB','','','Arab World');"
ARE,Middle East & North Africa,High income,United Arab Emirates,"INSERT INTO country VALUES('ARE','Middle East & North Africa','High income','United Arab Emirates');"
ARG,Latin America & Caribbean,Upper middle income,Argentina,"INSERT INTO country VALUES('ARG','Latin America & Caribbean','Upper middle income','Argentina');"
ARM,Europe & Central Asia,Upper middle income,Armenia,"INSERT INTO country VALUES('ARM','Europe & Central Asia','Upper middle income','Armenia');"
ASM,East Asia & Pacific,Upper middle income,American Samoa,"INSERT INTO country VALUES('ASM','East Asia & Pacific','Upper middle income','American Samoa');"
ATG,Latin America & Caribbean,High income,Antigua and Barbuda,"INSERT INTO country VALUES('ATG','Latin America & Caribbean','High income','Antigua and Barbuda');"
AUS,East Asia & Pacific,High income,Australia,"INSERT INTO country VALUES('AUS','East Asia & Pacific','High income','Australia');"
AUT,Europe & Central Asia,High income,Austria,"INSERT INTO country VALUES('AUT','Europe & Central Asia','High income','Austria');"
AZE,Europe & Central Asia,Upper middle income,Azerbaijan,"INSERT INTO country VALUES('AZE','Europe & Central Asia','Upper middle income','Azerbaijan');"
BDI,Sub-Saharan Africa,Low income,Burundi,"INSERT INTO country VALUES('BDI','Sub-Saharan Africa','Low income','Burundi');"
BEL,Europe & Central Asia,High income,Belgium,"INSERT INTO country VALUES('BEL','Europe & Central Asia','High income','Belgium');"
BEN,Sub-Saharan Africa,Low income,Benin,"INSERT INTO country VALUES('BEN','Sub-Saharan Africa','Low income','Benin');"
BFA,Sub-Saharan Africa,Low income,Burkina Faso,"INSERT INTO country VALUES('BFA','Sub-Saharan Africa','Low income','Burkina Faso');"
BGD,South Asia,Lower middle income,Bangladesh,"INSERT INTO country VALUES('BGD','South Asia','Lower middle income','Bangladesh');"
BGR,Europe & Central Asia,Upper middle income,Bulgaria,"INSERT INTO country VALUES('BGR','Europe & Central Asia','Upper middle income','Bulgaria');"
BHR,Middle East & North Africa,High income,Bahrain,"INSERT INTO country VALUES('BHR','Middle East & North Africa','High income','Bahrain');"
BHS,Latin America & Caribbean,High income,"Bahamas, The","INSERT INTO country VALUES('BHS','Latin America & Caribbean','High income','Bahamas, The');"
BIH,Europe & Central Asia,Upper middle income,Bosnia and Herzegovina,"INSERT INTO country VALUES('BIH','Europe & Central Asia','Upper middle income','Bosnia and Herzegovina');"
BLR,Europe & Central Asia,Upper middle income,Belarus,"INSERT INTO country VALUES('BLR','Europe & Central Asia','Upper middle income','Belarus');"
BLZ,Latin America & Caribbean,Upper middle income,Belize,"INSERT INTO country VALUES('BLZ','Latin America & Caribbean','Upper middle income','Belize');"
BMU,North America,High income,Bermuda,"INSERT INTO country VALUES('BMU','North America','High income','Bermuda');"
